county_name,fips,latitude,longitude,year,total_pop,median_income,median_home_value,price_to_income,median_gross_rent,rent_burden_pct,severe_rent_burden_pct,total_housing_units,housing_units_per_1k,vacancy_rate_pct,homeownership_pct,homeownership_white_nh_pct,homeownership_black_pct,homeownership_hispanic_pct,poverty_rate_pct,pct_white_nh,pct_black_nh,pct_asian_nh,pct_hispanic,pct_aian_nh
Douglas,17041,39.769477891328386,-88.21737965229813,2020,19551,59620,120500,2.02,734,40.9,15.7,8469,433.2,10.3,75.9,76.9,100,61.6,10.7,90,0.8,0.6,7.3,0.3
Douglas,17041,39.769477891328386,-88.21737965229813,2022,19714,67177,137100,2.04,748,36,15.1,8484,430.4,9.9,78.6,79.6,54,68.5,9.5,88.7,1.1,0.6,7.6,0.2
DuPage,17043,41.851897500474045,-88.08557781710607,2014,926485,79016,279700,3.54,1127,45.1,20.6,356625,384.9,5.5,73.8,79.7,25.5,54.7,7.1,69.1,4.5,10.5,13.7,0.1
DuPage,17043,41.851897500474045,-88.08557781710607,2016,930514,81521,283500,3.48,1178,43.9,21.2,357549,384.2,5.2,72.9,78.8,27.7,53.1,7,68.3,4.5,11,14,0.1
DuPage,17043,41.851897500474045,-88.08557781710607,2018,931743,88711,299000,3.37,1280,43.9,21.5,359299,385.6,4.9,73.2,79.3,29.3,52.5,6.8,67.3,4.6,11.6,14.2,0.1
DuPage,17043,41.851897500474045,-88.08557781710607,2020,926005,94930,315600,3.32,1365,42,19.9,361221,390.1,4.7,73,79.1,29.1,53.3,6.2,66.2,4.8,12.1,14.3,0.1
DuPage,17043,41.851897500474045,-88.08557781710607,2022,930559,107035,361700,3.38,1551,42,20.1,365347,392.6,4.5,73.1,79.1,28.8,55.4,6.3,64.5,4.7,12.5,14.8,0
Edgar,17045,39.678460117163404,-87.7455720510352,2014,18171,43075,75700,1.76,601,42.6,21,8778,483.1,9.9,74,74.3,0,25,17.7,97.4,0.6,0.3,1.1,0.1
Edgar,17045,39.678460117163404,-87.7455720510352,2016,17828,46440,79300,1.71,593,39.4,22,8780,492.5,12.9,74.1,74.4,0,37.5,16.2,97.2,0.4,0.3,1.1,0.1
Edgar,17045,39.678460117163404,-87.7455720510352,2018,17539,51109,80100,1.57,605,35.9,26.2,8816,502.7,13.9,75.7,75.8,NA,56.5,12.3,97,0.3,1,1.1,0.1
Edgar,17045,39.678460117163404,-87.7455720510352,2020,17272,48543,82800,1.71,653,38.5,17.6,8827,511.1,11.1,74.4,75,100,25.9,11.3,96.8,0.6,0.6,1.3,0.1
Edgar,17045,39.678460117163404,-87.7455720510352,2022,16852,56687,94100,1.66,716,28.8,9.4,8265,490.4,8.1,73.7,73.7,100,57.6,11.8,96.5,0.5,0.4,1.3,0
Edwards,17047,38.41641836696924,-88.05331493973235,2014,6687,42779,64300,1.5,477,28.6,11.4,3174,474.7,13.5,82.5,82.5,NA,54.5,12.5,97.2,0.6,0.2,1.2,0
Edwards,17047,38.41641836696924,-88.05331493973235,2016,6612,47035,71500,1.52,479,26.7,7.8,3164,478.5,12.5,82.8,82.8,NA,63.6,11.7,96.9,0.3,0.9,0.9,0
Edwards,17047,38.41641836696924,-88.05331493973235,2018,6507,49766,76500,1.54,484,36.3,4.9,3194,490.9,13.1,82.4,82.5,NA,65.2,10.3,96.6,0.6,0.4,1.4,0
Edwards,17047,38.41641836696924,-88.05331493973235,2020,6431,53801,81000,1.51,609,41.5,4.6,3204,498.2,14,80.3,80.7,NA,46.4,12.1,96.5,0.4,0.3,1.4,0
Edwards,17047,38.41641836696924,-88.05331493973235,2022,6182,60784,92700,1.53,710,32.5,6.2,3055,494.2,14.1,79.2,79.8,NA,60.7,14.2,95.6,0.1,0.3,1.4,0
Effingham,17049,39.05975952669894,-88.5898410157523,2014,34280,52374,118400,2.26,579,25.4,11.5,14675,428.1,8.8,79.2,79.6,0,84,10.5,96.6,0.3,0.3,1.8,0
Effingham,17049,39.05975952669894,-88.5898410157523,2016,34356,52977,132900,2.51,598,30.6,10.1,14731,428.8,9.6,78.3,79.2,0,75.7,10.8,96.3,0.4,0.6,1.9,0
Effingham,17049,39.05975952669894,-88.5898410157523,2018,34174,56293,140300,2.49,615,31.3,14,14864,435,8.8,77.7,78.7,1.9,58.1,11.6,95.9,0.5,0.6,2,0.1
Effingham,17049,39.05975952669894,-88.5898410157523,2020,34151,59932,151700,2.53,654,27,12.2,14936,437.4,7.2,76.7,77.6,2.2,49.2,11.2,95.6,0.5,0.4,2.1,0.1
Effingham,17049,39.05975952669894,-88.5898410157523,2022,34594,73181,166500,2.28,697,27.5,12.5,15313,442.6,7.9,77.8,78.2,0,69.5,10.8,95.2,0.5,0.7,2.2,0
Fayette,17051,39.00005511508077,-89.02413460803372,2014,22041,44603,81700,1.83,549,30.6,16.3,9279,421,14,80.4,80.8,NA,21.1,16.4,94.6,3,0.2,1.6,0.1
Fayette,17051,39.00005511508077,-89.02413460803372,2016,22025,44745,81400,1.82,597,34,17.9,9232,419.2,17.1,82.1,82.9,NA,100,16.1,91.9,4.4,0.5,2.1,0.2
Fayette,17051,39.00005511508077,-89.02413460803372,2018,21724,44432,84700,1.91,605,34.7,15.8,9315,428.8,18.2,80.5,80.5,100,100,17.9,92.1,4.8,0.5,1.9,0.2
Fayette,17051,39.00005511508077,-89.02413460803372,2020,21418,45634,93200,2.04,610,34.6,17.3,9306,434.5,14.9,81.3,81.2,100,12.5,16.2,92.1,4.4,0.5,1.8,0.2
Fayette,17051,39.00005511508077,-89.02413460803372,2022,21464,51962,111500,2.15,716,33.5,15.9,8839,411.8,13.1,79.7,78.9,100,58.1,14.7,89.3,3.5,0.5,2.3,0.4
Ford,17053,40.5968205229326,-88.22334991945225,2014,13906,48908,91000,1.86,581,29.3,11.7,6277,451.4,10.6,75.3,75.6,100,61.5,11.8,95.3,0.5,0.3,2.5,0.3
Ford,17053,40.5968205229326,-88.22334991945225,2016,13758,49257,97300,1.98,591,31.4,10.3,6324,459.7,10.4,73,73.8,21.1,49.6,14,94.8,0.8,0.4,2.9,0.4
Ford,17053,40.5968205229326,-88.22334991945225,2018,13398,51120,98400,1.92,651,36.9,15.5,6367,475.2,9.2,70.6,71,0,59.1,15.8,93.8,1.1,0.5,3.2,0.4
